Glass ,A1,A2,A3,B1,B2,B3
S-LAL54,1.41910189,0.258416881,1.07385537,0.007266474,0.02638425,102.555463
S-LAL54Q,0.920085087,0.758646115,1.07073096,0.016082967,0.002920593,85.12112
S-LAL58,1.06368789,0.744939067,1.59178942,0.018519964,0.001162959,156.636025
S-LAL59,1.13962742,0.805227838,1.29488061,0.004932949,0.020247996,93.4746507
S-LAL61,1.11073292,0.859347773,1.26707433,0.004641812,0.019298926,87.3917698
S-LAM 2,1.7713,0.19581423,1.19487834,0.009766524,0.041271863,110.458122
S-LAM 3,1.64258713,0.23963461,1.22483026,0.00868246,0.035122624,116.604369
S-LAM 7,1.71014712,0.256943292,1.63986271,0.010516108,0.050280964,146.181217
S-LAM54,1.84213306,0.175468631,1.25750878,0.009439932,0.039528112,86.5463013
S-LAM55,1.85412979,0.165450323,1.27255422,0.010843815,0.051405098,109.986837
S-LAM60,1.60673056,0.36641564,1.31761804,0.007750461,0.028996761,93.0720709
S-LAM61,1.7388333,0.15093743,1.12118445,0.009802441,0.043317969,101.214625
S-LAM66,1.92094221,0.219901208,1.72705231,0.011507524,0.054799354,120.133674
S-LAM73,1.86353123,0.255215617,1.23399133,0.010762067,0.048724868,117.12511
S-LAH51,1.82586991,0.283023349,1.35964319,0.009352972,0.037380306,100.655798
S-LAH52,1.85390925,0.297925555,1.39382086,0.009553207,0.039381685,102.706848
S-LAH52Q,1.91082318,0.239854589,1.16159733,0.010356535,0.041380508,96.60373
S-LAH53,1.91811619,0.253724399,1.39473885,0.010214768,0.043317601,101.938021
S-LAH53V,1.96600955,0.205143305,1.23200934,0.010781779,0.046372787,97.69406
S-LAH55V,1.97025325,0.30489414,1.39214665,0.009910881,0.03832023,97.7785249
S-LAH55VS,1.92591095,0.34895346,1.42230744,0.009611525,0.036513298,103.36409
S-LAH58,1.78764964,0.6526356,1.79914564,0.008473785,0.031312641,132.788001
S-LAH59,1.51372967,0.702462343,1.33600982,0.007052469,0.024948869,100.085908
S-LAH60,1.95243469,0.30710021,1.56578094,0.010644244,0.04567353,110.28141
S-LAH60MQ,1.95539063,0.302550219,1.3431139,0.010911137,0.04546667,113.58085
S-LAH60V,2.05081962,0.208475257,1.31486394,0.011603599,0.052648936,99.38065
S-LAH63,1.89458276,0.268702978,1.45705526,0.010227705,0.044280124,104.874927
S-LAH63Q,1.96723017,0.194953915,1.25386282,0.011045609,0.049713706,104.84352
S-LAH64,1.83021453,0.29156359,1.28544024,0.009048233,0.033075669,89.3675501
S-LAH65V,1.81419034,0.361376301,1.32729484,0.00874935,0.031835284,91.3406898
S-LAH65VS,1.76068422,0.414128906,1.33415439,0.008536072,0.030182638,98.09421
S-LAH66,1.39280586,0.679577094,1.38702069,0.006084751,0.023392535,95.8354094
S-LAH71,1.98280031,0.31675845,2.44472646,0.011898746,0.0527156,213.220697
S-LAH79,2.32557148,0.507967133,2.43087198,0.013289521,0.052833545,161.122408
S-LAH88,2.1284434,0.405082139,1.67918461,0.011730982,0.05087066,107.091456
S-LAH89,1.95118827,0.377607223,1.47757262,0.009765608,0.038223204,112.23672
S-LAH92,2.10440311,0.358346161,1.63010064,0.010853181,0.044340592,123.2498
S-LAH93,2.17884378,0.325508683,1.70608646,0.011576088,0.04959825,128.91358
S-LAH95,2.15636617,0.329558178,1.72178935,0.012288051,0.055550784,124.43934
S-LAH96,1.85078519,0.189204854,1.19763137,0.009406575,0.038034519,101.426835
S-LAH97,1.0273018,0.989293564,1.25781057,0.018340613,0.003712642,87.85105
S-LAH98,2.28510629,0.385532264,2.0655112,0.012217896,0.051475234,145.92087
S-LAH99,2.39140662,0.439219228,2.38358467,0.01314675,0.055322604,161.2599
S-FTM16,1.32940907,0.141512125,1.44299068,0.010237729,0.057808196,150.597139
S-NBM51,1.37023101,0.177665568,1.30515471,0.008719203,0.040572555,112.703058
S-NBH 5,1.47544521,0.193060095,1.5093901,0.009558367,0.046043048,126.422746
S-NBH 8,1.61344136,0.257295888,1.98364455,0.010638675,0.048707162,159.784404
S-NBH51,1.71203689,0.255989588,1.81456998,0.010772413,0.04885935,136.359013
S-NBH52V,1.51336868,0.212341478,1.54149143,0.009870778,0.046284366,126.97851
S-NBH53V,1.65444141,0.267453927,2.14530347,0.011248553,0.052027274,167.3661
S-NBH55,1.83145156,0.287818024,2.152083,0.012244314,0.057387731,186.099124
S-NBH56,1.85191438,0.431102852,3.45278284,0.013273262,0.058594464,239.357089
S-NBH57,1.92026488,0.37153524,2.55205704,0.011846803,0.053210547,204.5493
S-NBH58,1.71408219,0.362966167,2.56486266,0.011681278,0.054084735,188.7857
S-NPH 1,1.75156623,0.364006304,2.47874141,0.013500468,0.066824515,170.756006
S-NPH 1W,1.75156623,0.364006304,2.47874141,0.013500468,0.066824515,170.756006
S-NPH 2,2.0386951,0.437269641,2.96711461,0.017079622,0.074925481,174.155354
S-NPH 3,2.09834903,0.489088388,2.94009268,0.017912387,0.077665335,160.930428
S-NPH 4,1.93563931,0.449596478,2.71828573,0.015258529,0.069681578,170.327149
S-NPH 5,1.89108996,0.395220126,2.20492127,0.01411645,0.066283445,148.6807
S-NPH 7,1.68236554,0.339649644,2.25049208,0.013143168,0.064504001,181.3863
